SQ380JC,03-Mar-17,Shanghai China,4,Travel Convenience,It is indeed a very convenient choice for travellers on a longer than 12 hours of layover. Rooms are superbly appointed and well maintained. It would be ideal that with todays travellers they should incorporate power sockets at both sides of the bed for charging of muktiple devices. Other than this small comment the hotel is just perfect.
Debbie F,02-Mar-17,null,4,Brilliant Airport Hotel!,If you need to catch an early flight or are arriving on a late one (or in our case both flying in at different times - one at night one in the morning) this is the perfect solution! Not only is it a really nice hotel its extremely convenient and the Premier Double room was very modern light and airy...
LV89052,01-Mar-17,Henderson Nevada,4,Great airport hotel,We had an overnight layover in Singapore and wanted to stay at or close to the airport. The Crowne Plaza turned out to be the perfect hotel for our needs. We walked from our arrival gate to the front desk (remember the Changi airport is huge - so it was about a 15 minute walk). The front desk staff was...
TerryandJane,01-Mar-17,Bourne United Kingdom,5,Great Location,An amazing hotel set actually within Terminal 2 of the airport. Walk straight from the concourse into reception.Very large comfortable rooms well sound proofed with no aircraft of other noise. Great if you just want to catch up on some sleep.Didnt use the pool but wow the pool area would disgrace many luxury holiday hetels.
cajetan,01-Mar-17,Auckland New Zealand,4,Talk about Handy Location,Nice hotel right by T3 Changi we landed into T2 and took us approx 10 mins walking but you do not really notice the time cause theres so much going on everywhere. Getting onto the lifts to get to the right floor was the only challenge. Be warned its a popular hotel so theres always lots of people everywhere. Once...
ilex21771,01-Mar-17,Mt. Airy MD,5,Great Stay!,Stayed for 2 nights after disembarking from a cruise and had a wonderful stay. Came back after visiting other countries in Asia for an additional night before flying home. Great location friendly efficient staff and overal great experience. Love the Tub!! 5 stars all the way!
Mikhael M,28-Feb-17,Surabaya Indonesia,4,Location is unbeatable,I have short stay during my visit to Singapore for Guns and Roses concert came at noon and have to fly back next day morning. I enjoyed this hotel for its location very practical for early morning flights.Check in process took 5 minutes but there are long lines of guest during my stay due to wedding event at this...
university I,26-Feb-17,null,4,Good hotel a little pricey ,I fly over 100000 air miles per year so I read and write a lot of reviews. I am often times amused at people who expect perfection while traveling I always ask myself is everything perfect in there everyday life?Case in point I flew in from Manila to Singapore and had to make it to a meeting so I...
dave l,26-Feb-17,Wells United Kingdom,4,good airport,a very big airport but everything is very well sign posted some good shops and plenty of places to relax and many food outlets exactly what you would expect of a large international airport can also get nice massage too
Mat L,25-Feb-17,null,2,Dissapointing,Me and friends were on a stop over for a flight in the morning! Beds were tiny and extremely uncomfortable didnt enjoy the stay as had zero sleep. Spend more money on the beds and less on artwork and aesthetics!
CGUrbanaIllinois,24-Feb-17,Urbana Illinois,4,Convenient reasonable rooms unexpected policy changes without notice,We stay here two to four times a year given the flight connections we take most often to and from the US. Weve always had very good experiences with the quiet the convenience etc. This stay when we checked in we discovered we were not getting either the points for the stay because of how our booking had been made...
Was T,24-Feb-17,null,5,Great service and so so quiet right in the terminal,Great service clean tidy and reasonably priced given you are right there in the terminal. Although right next to the runway you cant hear a thing! Check-in a little slow but understandable as they are dealing with a lot of volume. A sumptuous breakfast - just standard.
roadtripswc,23-Feb-17,United States,5,Stayed here twice very clean and friendly customer service,this was the best airport lodging we have experienced. The hotel is very clean modern and customer service was great. We stayed here twice due to our connecting flights. This hotel is connected directly to the airport and also has a connection to a little shopping area. We saw wedding reception during our stay.
jmdeans,23-Feb-17,Denver Colorado,4,Convenient and Nice,Check in was quick and efficient. Rooms are decent. Id say its an average hotel by Singapore standards but an excellent hotel when it comes to airport hotels.Book your room in advance. The walk up rates are insane and availability can be scarce. Bar prices are ridiculous but the the 2nd floor bar has an 11pm-1am happy hour where...
