name,rating,country,month_year,food_senti,service_senti,resta_senti,price_senti,room_senti,review_senti,subject_senti
SQ380JC,4,china,Mar-17,0,0,0,0,3,9,0
Debbie F,4,null,Mar-17,0,0,0,0,5,9,2
LV89052,4,nevada,Mar-17,0,0,0,0,0,6,1
TerryandJane,5,united kingdom,Mar-17,0,0,0,0,4,11,1
cajetan,4,new zealand,Mar-17,0,0,0,0,0,7,1
ilex21771,5,md,Mar-17,0,0,0,0,0,13,2
Mikhael M,4,indonesia,Feb-17,0,0,0,0,0,3,0
university I,4,null,Feb-17,0,0,0,0,0,5,-1
dave l,4,united kingdom,Feb-17,4,0,0,0,0,4,1
Mat L,2,null,Feb-17,0,0,0,0,0,1,0
CGUrbanaIllinois,4,illinois,Feb-17,0,0,0,0,0,4,1
Was T,5,null,Feb-17,4,5,0,5,0,11,2
roadtripswc,5,united states,Feb-17,0,4,0,0,0,8,2
jmdeans,4,colorado,Feb-17,0,0,0,1,1,6,2
phtips,5,australia,Feb-17,0,0,0,0,2,4,0
CraigJH,4,brisbane,Feb-17,0,0,0,0,0,7,1
Mitch C,5,australia,Feb-17,3,0,0,0,3,15,2
Leekayetee,5,new zealand,Feb-17,0,0,0,0,2,10,1
SimBuc,4,united kingdom,Feb-17,0,0,0,0,1,11,3
iris m,5,united kingdom,Feb-17,0,0,0,0,0,11,3
Greg C,5,australia,Feb-17,0,0,0,0,5,7,1
cwright1989,4,null,Feb-17,0,0,0,0,3,9,1
jfoote,5,california,Feb-17,0,0,0,0,0,6,1
John S,4,washington,Feb-17,0,0,0,0,0,3,0
JRhecel,4,null,Feb-17,3,0,0,3,0,5,0
Alson_Teo,5,singapore,Feb-17,0,0,0,0,0,6,1
Patrick J,4,sarasota,Feb-17,0,0,0,0,1,6,1
DanFreeman,5,united kingdom,Feb-17,2,0,0,0,3,10,1
Lance E M,1,ultimo,Feb-17,0,0,0,0,-2,-1,0
gsrs,4,usa,Feb-17,0,0,0,0,2,5,1
Marc W,5,united kingdom,Feb-17,0,0,0,0,7,11,2
Lawrence C,4,australia,Feb-17,0,0,0,0,5,12,1
Ken P,4,united states,Feb-17,0,0,0,0,3,12,3
Mark B,3,florida,Feb-17,-1,0,0,0,-1,7,2
cachecacher,3,united kingdom,Feb-17,0,0,0,0,0,4,0
I1456CMamira,5,saudi arabia,Feb-17,0,0,0,0,1,1,0
Giaarul,4,singapore,Feb-17,4,0,0,0,0,7,0
wazza71,5,australia,Feb-17,0,0,0,0,6,11,2
VinceDarwin,4,darwin,Feb-17,0,3,0,0,4,10,0
Bill S,5,null,Feb-17,4,4,0,0,0,6,1
flyaarmy,5,texas,Feb-17,0,0,6,0,6,8,0
scyang2,1,null,Feb-17,0,0,0,0,0,2,-1
sammi999,5,united kingdom,Feb-17,0,0,3,0,3,8,1
peterw_in_Wakefield,5,wakefield,Feb-17,0,0,0,0,5,11,1
brnrd_h,4,singapore,Feb-17,0,0,0,0,0,14,0
Jakob S,4,null,Feb-17,3,3,0,0,3,10,0
RianaDhaka,5,bangladesh,Feb-17,1,0,0,0,1,8,1
Judy8688,5,uk,Feb-17,0,2,0,0,3,12,1
lisally2017,1,australia,Feb-17,0,0,0,0,0,8,0
JuliaGil,5,sp,Feb-17,2,0,2,0,1,9,-2
Harry K,4,united kingdom,Feb-17,0,0,0,0,0,9,1
SydneyLin2010,5,null,Feb-17,0,0,0,0,2,9,1
IDC637,5,washington dc,Feb-17,0,0,0,0,3,6,2
KC_Wilson_NZ,5,auckalnd,Feb-17,0,0,0,0,-1,8,1
A TripAdvisor Member,3,null,Feb-17,0,0,0,0,1,4,-2
jplendon,4,mexico,Feb-17,0,0,0,0,3,6,0
Keith P,4,florida,Feb-17,0,0,0,0,2,5,0
Xanerin,5,australia,Feb-17,2,0,0,0,4,10,1
FreoCreatures,5,australia,Feb-17,0,0,0,0,0,9,1
steveslats,5,united kingdom,Feb-17,0,0,0,0,5,12,1
Nahuel P,5,brisbane,Feb-17,2,0,0,0,2,6,1
michaelkP3149LN,5,canada,Feb-17,0,0,0,0,2,6,1
Anthony Y,5,null,Feb-17,0,0,0,0,3,6,1
KACommuter,3,china,Feb-17,0,0,0,0,0,3,1
Travelingflamingo55,5,texas,Feb-17,4,0,0,4,0,11,1
MikeF32,5,washington,Feb-17,0,0,0,0,5,13,2
MelJ722,5,null,Feb-17,2,3,0,0,4,11,2
AxelWinter952,3,thailand,Feb-17,2,0,0,2,3,15,1
Russ111222,5,new zealand,Feb-17,1,0,0,0,4,8,1
Christa C,4,malaysia,Feb-17,0,0,0,0,3,9,-1
Vincent N,4,null,Feb-17,0,0,0,0,2,12,0
dfisch891,2,uk/detroit,Feb-17,0,2,0,0,1,16,0
Hburn10,3,singapore,Jan-17,0,0,0,1,0,13,0
Rin M,4,singapore,Jan-17,0,0,0,0,2,7,2
Deefaianz D,5,null,Jan-17,0,0,0,0,8,11,1
Andy H,4,united kingdom,Jan-17,0,4,1,4,4,8,0
A TripAdvisor Member,5,null,Jan-17,1,0,0,0,4,12,1
janineor,4,australia,Jan-17,0,0,0,0,2,7,1
Mike D,4,united kingdom,Jan-17,0,0,0,0,1,8,1
ivan m,5,ireland,Jan-17,2,0,0,0,3,10,1
Keith G,5,united kingdom,Jan-17,1,0,0,0,2,9,1
723shamirs,5,null,Jan-17,0,0,0,0,0,5,0
Stumpy308,5,australia,Jan-17,0,0,0,0,4,7,1
jelita,5,louisiana,Jan-17,0,0,3,0,0,13,3
loulang,5,nt,Jan-17,0,0,0,0,1,5,3
leheath,5,washington,Jan-17,0,0,0,1,0,12,2
radarinoz,4,australia,Jan-17,0,0,0,0,4,5,2
767ianl,4,null,Jan-17,0,0,0,0,3,8,0
RandomFlair,4,canada,Jan-17,0,0,0,0,3,5,0
Singapore1704,2,singapore,Jan-17,0,0,0,0,0,0,-1
Australiafrancophile,4,australia,Jan-17,0,0,0,0,1,3,1
haukyn,5,new zealand,Jan-17,0,0,0,0,2,8,1
Evangelia K,5,null,Jan-17,0,0,0,0,2,9,0
local130,2,australia,Jan-17,0,0,0,0,4,6,0
Glenn R,5,null,Jan-17,0,0,0,0,2,10,0
Prayanak,4,thailand,Jan-17,0,0,0,0,0,3,1
Ron B,5,united kingdom,Jan-17,0,0,0,0,6,8,1
Speedbirdaircrew,5,united kingdom,Jan-17,2,0,2,0,2,11,0
cbroo,3,usa,Jan-17,0,0,0,0,3,12,0
Dave T,5,australia,Jan-17,2,2,0,2,2,5,2
Global_academic,2,australia,Jan-17,0,0,0,1,0,6,0
MarynissenM,4,belgium,Jan-17,2,0,0,0,1,4,0
Hans-Smeets,4,the netherlands,Jan-17,0,0,0,0,0,2,0
simon f,4,edinburgh,Jan-17,0,0,0,0,0,2,6
D2867MJscottp,4,united kingdom,Jan-17,0,0,0,0,1,5,0
iriekh,5,perth,Jan-17,0,2,1,0,4,18,1
anuj2985,5,australia,Jan-17,0,6,0,0,10,12,1
MartInG1956,4,null,Jan-17,0,0,0,0,0,10,2
mrsinghg,5,null,Jan-17,4,0,3,0,6,17,1
tigerov,4,united kingdom,Jan-17,2,0,0,0,2,6,1
Susan M,5,australia,Jan-17,1,0,0,0,4,10,1
parklane44,5,united kingdom,Jan-17,1,0,0,0,4,14,4
MsPoppins5,4,new zealand,Jan-17,0,0,0,0,2,4,0
LynnzC,4,null,Jan-17,4,0,0,0,2,19,0
LEA W,5,null,Jan-17,0,2,0,0,3,12,1
512ericy,1,australia,Jan-17,0,1,0,0,1,2,-1
nicole240186,1,auckland,Jan-17,0,0,0,0,0,0,1
p5t5r85nry,4,australia,Jan-17,-1,0,0,-1,1,8,0
Vikstar68,5,new york,Jan-17,3,0,0,0,3,5,2
Susangermany,5,texas,Jan-17,0,2,0,0,4,9,2
Adrian H,4,barwon heads,Jan-17,3,3,0,0,2,8,1
Anna G,5,west sussex,Jan-17,0,0,0,0,3,8,1
AndyDave,5,australia,Jan-17,0,1,0,0,12,13,2
patricklR713NI,4,null,Jan-17,0,0,0,0,5,9,2
nitasha g,5,australia,Jan-17,0,0,0,3,3,9,0
Janine O,4,australia,Jan-17,0,0,0,0,3,7,3
SteveTraveller1255,5,sydney,Jan-17,0,0,0,0,2,5,1
Prescilla G,2,victoria,Jan-17,0,0,0,0,0,6,0
Ary L,5,new zealand,Jan-17,0,0,0,0,7,14,2
macfod,3,canada,Jan-17,0,0,0,0,0,3,0
OmanRob,5,singapore,Jan-17,0,0,0,0,5,7,1
snaem85,4,australia,Jan-17,3,0,0,0,0,6,0
alyssar284,5,melbourne,Jan-17,0,0,0,0,7,11,0
CBMelbourne,5,melbourne,Jan-17,0,0,0,0,0,6,2
bumpiola,5,new york,Jan-17,0,0,0,0,5,7,2
Carrie M,5,california,Jan-17,0,3,0,0,3,7,2
mojo2018babushka,4,null,Jan-17,0,5,5,0,5,11,3
D R,5,japan,Jan-17,0,0,0,0,0,2,3
Robert M,3,australia,Jan-17,3,0,0,0,3,12,1
SJCSydney,5,united kingdom,Jan-17,0,0,0,0,0,12,0
Lesleymatt,5,scotland,Jan-17,0,0,0,0,0,10,1
laiyw,5,null,Jan-17,0,0,0,0,2,14,2
QF1WORLD,5,null,Jan-17,0,0,0,0,1,5,0
kate T,3,texas,Jan-17,0,0,0,0,2,4,1
Michelle N,5,australia,Jan-17,0,0,1,0,1,11,1
roxannecannon,5,australia,Jan-17,2,0,0,0,0,7,1
Dreamsong,3,sydney,Jan-17,0,0,0,0,1,6,1
SydneyGlobalShopper,5,australia,Jan-17,3,0,0,0,3,8,2
h0lidaysun,5,india,Jan-17,0,0,0,0,0,7,1
ShilpaLakhani,5,null,Jan-17,0,0,0,0,0,7,1
Eric B,5,ut,Jan-17,0,0,0,0,5,10,-1
conejotravel,5,texas,Jan-17,0,0,0,0,0,5,1
JamieANS,5,null,Jan-17,0,0,0,0,2,7,1
The_Jolly_Wanderer,4,null,Jan-17,4,1,0,0,1,13,2
Janice N,4,new zealand,Jan-17,0,0,0,0,0,6,1
Lim L,5,singapore,Dec-16,0,2,0,0,0,5,1
Lucchezzi,5,singapore,Dec-16,0,0,0,0,1,4,1
carolhannahang,2,null,Dec-16,0,0,0,0,2,6,0
Mason L,5,uk,Dec-16,3,3,0,0,5,14,1
hammer265,5,australia,Dec-16,0,2,0,0,6,10,1
257Trinah,5,null,Dec-16,0,0,0,0,2,3,2
Kenya D,5,null,Dec-16,0,0,0,0,1,8,0
PatsyLong,5,singapore,Dec-16,2,0,0,0,4,10,1
Nashitah,4,melbourne,Dec-16,0,0,0,0,3,6,0
FrqntTrvlrMelbourne,1,illinois,Dec-16,0,0,0,0,6,13,4
AChops,4,australia,Dec-16,0,0,0,0,2,6,1
Lisa G,5,singapore,Dec-16,0,3,0,0,0,7,1
Nuraisha,4,australia,Dec-16,0,0,0,0,3,13,3
Robyn T,5,null,Dec-16,4,0,0,0,4,8,1
PETER B,5,fulham,Dec-16,0,0,0,0,0,1,2
JackieFulham,4,benfleet,Dec-16,0,0,0,0,0,6,1
Tony h,4,australia,Dec-16,0,0,0,0,2,6,2
scotthumphries,4,adelaide,Dec-16,2,1,3,1,3,9,1
nanamc,5,auckland,Dec-16,0,0,0,0,2,4,3
HACKER69,5,arizona,Dec-16,0,0,0,0,0,5,1
Gantosz,5,singapore,Dec-16,0,0,0,0,5,14,2
xinli29288,4,malaysia,Dec-16,0,0,0,3,0,7,1
pvrajdeep,5,united kingdom,Dec-16,0,0,0,0,0,4,1
so3003,4,vietnam,Dec-16,0,0,0,0,2,6,2
Deepesh K,4,australia,Dec-16,0,0,0,0,0,5,2
Kirsty76Australia,5,singapore,Dec-16,0,0,0,0,3,8,1
Sry17,4,philippines,Dec-16,0,0,0,0,3,10,1
David Michael S,4,new zealand,Dec-16,0,9,0,0,9,13,1
apteryx055,4,il,Dec-16,0,0,0,0,0,7,1
SmileyChicago_IL,5,null,Dec-16,0,0,0,0,3,8,0
Erik A,4,australia,Dec-16,0,2,0,0,5,6,1
Wendy M,4,null,Dec-16,0,0,0,0,1,7,1
Ron P,5,new zealand,Dec-16,0,0,0,0,1,6,0
MandyLou62,5,new york,Dec-16,0,0,0,0,7,7,1
ZenHealer7,4,united kingdom,Dec-16,0,0,0,0,0,2,0
EagleChris,4,singapore,Dec-16,0,0,0,0,1,3,0
eatshopeatshop,3,thailand,Dec-16,0,0,0,0,0,6,1
ayullamas,2,null,Dec-16,0,0,0,0,4,5,-1
Franca B,5,null,Dec-16,0,0,0,0,6,10,1
Lonelyplanet_1975,5,thailand,Dec-16,0,0,0,0,0,7,2
Adi C,2,singapore,Dec-16,0,0,0,0,0,2,-1
